*SENSE:Minimize
NAME          berth
ROWS
 N  OBJ
 G  _C1
 L  _C2
 G  _C3
 G  _C4
 G  _C5
 L  _C6
 G  _C7
 G  _C8
 G  _C9
 L  _C10
 G  _C11
 G  _C12
 G  _C13
 L  _C14
 G  _C15
 G  _C16
 G  _C17
 L  _C18
 G  _C19
 G  _C20
 G  _C21
 L  _C22
 G  _C23
 G  _C24
 G  _C25
 L  _C26
 G  _C27
 G  _C28
 G  _C29
 L  _C30
 G  _C31
 G  _C32
 G  _C33
 L  _C34
 G  _C35
 G  _C36
 G  _C37
 L  _C38
 G  _C39
 G  _C40
 G  _C41
 L  _C42
 G  _C43
 G  _C44
 G  _C45
 L  _C46
 G  _C47
 G  _C48
 G  _C49
 L  _C50
 G  _C51
 G  _C52
 G  _C53
 L  _C54
 G  _C55
 G  _C56
 G  _C57
 L  _C58
 G  _C59
 G  _C60
 G  _C61
 L  _C62
 G  _C63
 G  _C64
 G  _C65
 L  _C66
 G  _C67
 G  _C68
 G  _C69
 L  _C70
 G  _C71
 G  _C72
 G  _C73
 L  _C74
 G  _C75
 G  _C76
 G  _C77
 L  _C78
 G  _C79
 G  _C80
 G  _C81
 L  _C82
 G  _C83
 G  _C84
 G  _C85
 L  _C86
 G  _C87
 G  _C88
 G  _C89
 L  _C90
 G  _C91
 G  _C92
 G  _C93
 L  _C94
 G  _C95
 G  _C96
 G  _C97
 L  _C98
 G  _C99
 G  _C100
 G  _C101
 L  _C102
 G  _C103
 G  _C104
 G  _C105
 L  _C106
 G  _C107
 G  _C108
 G  _C109
 L  _C110
 G  _C111
 G  _C112
 G  _C113
 L  _C114
 G  _C115
 G  _C116
 G  _C117
 L  _C118
 G  _C119
 G  _C120
 G  _C121
 L  _C122
 G  _C123
 G  _C124
 G  _C125
 L  _C126
 G  _C127
 G  _C128
 G  _C129
 L  _C130
 G  _C131
 G  _C132
 G  _C133
 L  _C134
 G  _C135
 G  _C136
 G  _C137
 L  _C138
 G  _C139
 G  _C140
 G  _C141
 L  _C142
 G  _C143
 G  _C144
 G  _C145
 L  _C146
 G  _C147
 G  _C148
 G  _C149
 L  _C150
 G  _C151
 G  _C152
 G  _C153
 L  _C154
 G  _C155
 G  _C156
 G  _C157
 L  _C158
 G  _C159
 G  _C160
 G  _C161
 L  _C162
 G  _C163
 G  _C164
 G  _C165
 L  _C166
 G  _C167
 G  _C168
 G  _C169
 L  _C170
 G  _C171
 G  _C172
 G  _C173
 L  _C174
 G  _C175
 G  _C176
 G  _C177
 L  _C178
 G  _C179
 G  _C180
 G  _C181
 L  _C182
 G  _C183
 G  _C184
 G  _C185
 L  _C186
 G  _C187
 G  _C188
 G  _C189
 L  _C190
 G  _C191
 G  _C192
 G  _C193
 L  _C194
 G  _C195
 G  _C196
 G  _C197
 L  _C198
 G  _C199
 G  _C200
 G  _C201
 L  _C202
 G  _C203
 G  _C204
 G  _C205
 L  _C206
 G  _C207
 G  _C208
 G  _C209
 L  _C210
 G  _C211
 G  _C212
 G  _C213
 L  _C214
 G  _C215
 G  _C216
 G  _C217
