*SENSE:Minimize
NAME          berth
ROWS
 N  OBJ
 G  _C1
 L  _C2
 G  _C3
 G  _C4
 G  _C5
 L  _C6
 G  _C7
 G  _C8
 G  _C9
 L  _C10
 G  _C11
 G  _C12
 G  _C13
 L  _C14
 G  _C15
 G  _C16
 G  _C17
 L  _C18
 G  _C19
 G  _C20
 G  _C21
 L  _C22
 G  _C23
 G  _C24
 G  _C25
 L  _C26
 G  _C27
 G  _C28
 G  _C29
 L  _C30
 G  _C31
 G  _C32
 G  _C33
 L  _C34
 G  _C35
 G  _C36
 G  _C37
 L  _C38
 G  _C39
 G  _C40
 G  _C41
 L  _C42
 G  _C43
 G  _C44
 G  _C45
 L  _C46
 G  _C47
 G  _C48
 G  _C49
 L  _C50
 G  _C51
 G  _C52
 G  _C53
 L  _C54
 G  _C55
 G  _C56
 G  _C57
 L  _C58
 G  _C59
 G  _C60
 G  _C61
 L  _C62
 G  _C63
 G  _C64
 G  _C65
 L  _C66
 G  _C67
 G  _C68
 G  _C69
 L  _C70
 G  _C71
 G  _C72
 G  _C73
 L  _C74
 G  _C75
 G  _C76
 G  _C77
 L  _C78
 G  _C79
 G  _C80
 G  _C81
 L  _C82
 G  _C83
 G  _C84
 G  _C85
 L  _C86
 G  _C87
 G  _C88
 G  _C89
 L  _C90
 G  _C91
 G  _C92
 G  _C93
 L  _C94
 G  _C95
 G  _C96
 G  _C97
 L  _C98
 G  _C99
 G  _C100
 G  _C101
 L  _C102
 G  _C103
 G  _C104
 G  _C105
 L  _C106
 G  _C107
 G  _C108
 G  _C109
 L  _C110
 G  _C111
 G  _C112
 G  _C113
 L  _C114
 G  _C115
 G  _C116
 G  _C117
 L  _C118
 G  _C119
 G  _C120
 L  _C121
 L  _C122
 L  _C123
 L  _C124
 G  _C125
 L  _C126
 L  _C127
 L  _C128
 L  _C129
 G  _C130
 L  _C131
 L  _C132
 L  _C133
 L  _C134
 G  _C135
 L  _C136
 L  _C137
 L  _C138
 L  _C139
 G  _C140
 L  _C141
 L  _C142
 L  _C143
 L  _C144
 G  _C145
 L  _C146
 L  _C147
 L  _C148
 L  _C149
 G  _C150
 L  _C151
 L  _C152
 L  _C153
 L  _C154
 G  _C155
COLUMNS
    mid_for_y_0  _C4        1.000000000000e+00
    mid_for_y_0  _C5        1.000000000000e+00
    mid_for_y_0  OBJ        4.650000000000e+02
    mid_for_y_1  _C12       1.000000000000e+00
    mid_for_y_1  _C13       1.000000000000e+00
    mid_for_y_1  OBJ        5.160000000000e+02
    mid_for_y_10  _C84       1.000000000000e+00
    mid_for_y_10  _C85       1.000000000000e+00
    mid_for_y_10  OBJ        5.360000000000e+02
    mid_for_y_11  _C92       1.000000000000e+00
    mid_for_y_11  _C93       1.000000000000e+00
    mid_for_y_11  OBJ        4.500000000000e+02
    mid_for_y_12  _C100      1.000000000000e+00
    mid_for_y_12  _C101      1.000000000000e+00
    mid_for_y_12  OBJ        5.350000000000e+02
    mid_for_y_13  _C108      1.000000000000e+00
    mid_for_y_13  _C109      1.000000000000e+00
